frame,x0,y0,z0,v0,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x31,y31,z31,v31,x32,y32,z32,v32,elbow,shoulder,hip,knee,ankle
1,0.8695312738418579,0.4150429666042328,-0.10615130513906479,0.9998377561569214,0.7630676627159119,0.3814760446548462,0.20395979285240173,0.9997016787528992,0.7629175782203674,0.3854857087135315,-0.3433726131916046,0.9999402761459351,0.7330766916275024,0.5735888481140137,0.2441370189189911,0.19884087145328522,0.7310972213745117,0.6231936812400818,-0.4505118429660797,0.9968396425247192,0.7613430023193359,0.7744659185409546,0.11482343822717667,0.45114514231681824,0.7662638425827026,0.8307639360427856,-0.4415103793144226,0.9912548065185547,0.5796470046043396,0.5996808409690857,0.17706520855426788,0.9996800422668457,0.5647672414779663,0.6273300051689148,-0.17684565484523773,0.9998952150344849,0.43416985869407654,0.7142152786254883,0.23996561765670776,0.34975481033325195,0.4062971770763397,0.7782132625579834,-0.16499008238315582,0.9776712656021118,0.26857730746269226,0.6753584742546082,0.4228488504886627,0.7435405850410461,0.23565348982810974,0.7305682301521301,-0.03551183640956879,0.9916195869445801,0.25962719321250916,0.7495772242546082,0.3734506070613861,0.8712559342384338,0.21285530924797058,0.8003902435302734,-0.1170189157128334,0.9892232418060303,162.75610936870405,31.70556331484252,172.9171725887036,120.80385786716514,92.48248557168615
2,0.8724877238273621,0.4147917926311493,-0.16140799224376678,0.9998316168785095,0.7769466638565063,0.3378453850746155,0.12575529515743256,0.9997197389602661,0.7711188793182373,0.357878178358078,-0.3789958655834198,0.9999434351921082,0.7397624254226685,0.5642983913421631,0.17931288480758667,0.21365515887737274,0.7333270311355591,0.603908896446228,-0.44984546303749084,0.9968283772468567,0.7632688879966736,0.771996259689331,0.06805814802646637,0.4621461033821106,0.7661861181259155,0.836081326007843,-0.42858538031578064,0.9911395311355591,0.5671359896659851,0.531282901763916,0.17118196189403534,0.9996517896652222,0.5570880174636841,0.550328254699707,-0.1711709201335907,0.9998746514320374,0.4276382029056549,0.6525240540504456,0.271870881319046,0.3506370782852173,0.4058608412742615,0.708564817905426,-0.11432310193777084,0.9772736430168152,0.2694161534309387,0.6662501692771912,0.4592294991016388,0.7447141408920288,0.23176412284374237,0.7061377763748169,0.04790051281452179,0.9909960627555847,0.2598932087421417,0.7474160194396973,0.4171057343482971,0.8707209229469299,0.21730610728263855,0.7997076511383057,-0.017635587602853775,0.9884569048881531,163.20851161192257,39.30732452782611,175.6514100981119,132.90237378831677,97.9844513924988
3,0.8736923336982727,0.4181097447872162,-0.14928682148456573,0.9998303651809692,0.778768002986908,0.3348469138145447,0.15297405421733856,0.9997333288192749,0.7725752592086792,0.3577129542827606,-0.38189852237701416,0.9999462366104126,0.7401450872421265,0.5645902156829834,0.21310845017433167,0.22659079730510712,0.7363545894622803,0.6039510369300842,-0.4600478708744049,0.9967448115348816,0.7625929117202759,0.7720006108283997,0.08451281487941742,0.46758341789245605,0.7648307681083679,0.8369976282119751,-0.4336169958114624,0.9907434582710266,0.5626432299613953,0.5135636925697327,0.1761038899421692,0.9996286630630493,0.5523280501365662,0.5333427786827087,-0.1759091317653656,0.9998610615730286,0.41155412793159485,0.6526877880096436,0.2713397145271301,0.35073786973953247,0.39994800090789795,0.6893608570098877,-0.1159384548664093,0.9760317802429199,0.25095948576927185,0.67331463098526,0.4642486572265625,0.7402399778366089,0.22923395037651062,0.7082638740539551,0.034935690462589264,0.9901047348976135,0.25449338555336,0.7574049830436707,0.4160847067832947,0.866473376750946,0.2165483832359314,0.8133203983306885,-0.05372808873653412,0.9874122142791748,164.66195624455696,43.06329027711225,172.88626841626456,140.64084621989582,103.20295894271435
4,0.8740423917770386,0.419104665517807,-0.1334858238697052,0.9998220205307007,0.7794403433799744,0.3367057740688324,0.1578528881072998,0.9997344613075256,0.7758703827857971,0.3536074161529541,-0.3632492423057556,0.9999470114707947,0.7408751249313354,0.5644584894180298,0.21440066397190094,0.23459480702877045,0.7402952909469604,0.5994582772254944,-0.43918129801750183,0.9965462684631348,0.7624520063400269,0.7706668972969055,0.08985579758882523,0.46799150109291077,0.7639493346214294,0.8363440632820129,-0.413655161857605,0.9899248480796814,0.5628812909126282,0.5105960369110107,0.17363156378269196,0.9995841383934021,0.5515177845954895,0.5266391038894653,-0.173370823264122,0.9998437166213989,0.4061433970928192,0.647730827331543,0.2515188753604889,0.3523911237716675,0.396613746881485,0.6765457987785339,-0.1111050695180893,0.9751941561698914,0.25304028391838074,0.6735266447067261,0.4505750238895416,0.7360077500343323,0.22695580124855042,0.7083395719528198,0.02179613523185253,0.9895458817481995,0.25434818863868713,0.7579920291900635,0.38733482360839844,0.8632397055625916,0.2163676768541336,0.8142876029014587,-0.08581991493701935,0.9866724610328674,166.06011391253904,44.12601455300808,173.57210752962783,146.5510227637784,106.3201834172901
5,0.8750203251838684,0.42121100425720215,-0.1411222368478775,0.9998167753219604,0.7835133075714111,0.33697885274887085,0.1414712816476822,0.9997366666793823,0.7772565484046936,0.350030779838562,-0.3555109202861786,0.9999470710754395,0.7447711229324341,0.5602625012397766,0.20586524903774261,0.24437721073627472,0.7432209253311157,0.5979552865028381,-0.4199301600456238,0.9963230490684509,0.7617242932319641,0.7701858282089233,0.08939961344003677,0.4682401716709137,0.7637915015220642,0.8360469341278076,-0.38894811272621155,0.988968014717102,0.5630248785018921,0.5059274435043335,0.16422131657600403,0.9995394349098206,0.5513544678688049,0.5162856578826904,-0.16394682228565216,0.9998244643211365,0.4058384597301483,0.6409465670585632,0.23545390367507935,0.3546883165836334,0.39664560556411743,0.663303792476654,-0.10478011518716812,0.9738353490829468,0.2498573362827301,0.674066960811615,0.42071443796157837,0.7326498031616211,0.22382216155529022,0.7076889872550964,0.019731197506189346,0.988806426525116,0.25306183099746704,0.7578871250152588,0.3546459376811981,0.8606777191162109,0.2157265841960907,0.8139476776123047,-0.08182624727487564,0.9858560562133789,167.24097676668106,45.832385032324204,172.80409162854843,150.8610301466001,108.7594100741502
6,0.87680584192276,0.4222298264503479,-0.09924494475126266,0.9997969269752502,0.7833684086799622,0.337137371301651,0.16449016332626343,0.9997243881225586,0.78078293800354,0.3494790196418762,-0.3206329941749573,0.9999457001686096,0.7432680130004883,0.560335636138916,0.2183109074831009,0.2473357617855072,0.7459134459495544,0.6007411479949951,-0.38639920949935913,0.9959923028945923,0.7608757019042969,0.7702083587646484,0.1166139543056488,0.4625922739505768,0.765358567237854,0.8397261500358582,-0.3548316955566406,0.9876658320426941,0.5593327879905701,0.5043907165527344,0.1594904363155365,0.9994834661483765,0.5503775477409363,0.5139614939689636,-0.15922488272190094,0.9998012781143188,0.40223872661590576,0.6371170282363892,0.21750760078430176,0.3598467707633972,0.39558395743370056,0.6626483201980591,-0.10665852576494217,0.9729505777359009,0.2485690712928772,0.6779532432556152,0.38531190156936646,0.7330628037452698,0.22164945304393768,0.7077239155769348,0.00021642164210788906,0.9882472157478333,0.246900275349617,0.7684116959571838,0.31429794430732727,0.8596070408821106,0.21339139342308044,0.8134998679161072,-0.10588627308607101,0.9850839972496033,167.44322771970064,46.57746882972282,171.66872674914828,150.67886336854826,108.99179678255852
7,0.8785484433174133,0.42478033900260925,-0.09386783093214035,0.9997842311859131,0.7831161022186279,0.3382013738155365,0.17169782519340515,0.9997170567512512,0.7844866514205933,0.34948500990867615,-0.32764875888824463,0.9999452233314514,0.7422800064086914,0.560822606086731,0.22491911053657532,0.25040826201438904,0.7475042939186096,0.6019059419631958,-0.40143120288848877,0.9958288669586182,0.7605546116828918,0.7744013667106628,0.12016511708498001,0.45795339345932007,0.767223060131073,0.8441986441612244,-0.37332063913345337,0.9870051145553589,0.5574921369552612,0.504393994808197,0.15976786613464355,0.9994436502456665,0.5494093298912048,0.5084344148635864,-0.1595696359872818,0.9997829794883728,0.40263500809669495,0.6382035613059998,0.2212204486131668,0.3662436604499817,0.3951230049133301,0.6622630953788757,-0.11556381732225418,0.9723842144012451,0.24377316236495972,0.6848626732826233,0.3856267035007477,0.7351937890052795,0.22050462663173676,0.7079663872718811,-0.0016155894845724106,0.987553596496582,0.2399199903011322,0.7773315906524658,0.3183843493461609,0.8590984344482422,0.21091142296791077,0.814202606678009,-0.0993301123380661,0.9841333031654358,167.00814433836854,47.60067635913671,169.1451727262944,149.74975573224143,109.82593340702049
8,0.8795267343521118,0.42586377263069153,-0.10190001875162125,0.9997752904891968,0.7830874919891357,0.3418123126029968,0.16234369575977325,0.999711811542511,0.7841089367866516,0.34888607263565063,-0.32276126742362976,0.9999451637268066,0.7416667938232422,0.5617303848266602,0.21830470860004425,0.2552984356880188,0.7477830648422241,0.6033799052238464,-0.3941982388496399,0.9956969618797302,0.7600680589675903,0.7766949534416199,0.11421012133359909,0.4558262526988983,0.7672193050384521,0.8469830751419067,-0.3702009618282318,0.9865265488624573,0.5578981637954712,0.5038678050041199,0.15204507112503052,0.9994179606437683,0.5490190982818604,0.5049190521240234,-0.15190450847148895,0.9997731447219849,0.4034501016139984,0.6337472796440125,0.2156192511320114,0.37419337034225464,0.3950064778327942,0.6579776406288147,-0.10971669107675552,0.9718183875083923,0.24509964883327484,0.6848003268241882,0.37627890706062317,0.7366381287574768,0.22159133851528168,0.7072087526321411,0.000489940692204982,0.9867532849311829,0.24015109241008759,0.7752236723899841,0.3141149580478668,0.8586406707763672,0.2132839560508728,0.8140196204185486,-0.09902346134185791,0.9830389618873596,167.31078639743654,48.30442481899188,168.74619100795292,151.02416899934136,110.29502088780238
9,0.8801853656768799,0.42702266573905945,-0.09343168884515762,0.9997628927230835,0.7827253937721252,0.341869056224823,0.17031989991664886,0.9996995329856873,0.7852866053581238,0.3491152822971344,-0.32502585649490356,0.9999439716339111,0.7403224110603333,0.56183922290802,0.22229020297527313,0.2555077373981476,0.7477741241455078,0.6043270826339722,-0.4004717469215393,0.9954708218574524,0.7595239877700806,0.7776828408241272,0.11650444567203522,0.44980958104133606,0.7671549320220947,0.8474321961402893,-0.3745967149734497,0.9857694506645203,0.5568597912788391,0.503462553024292,0.15404012799263,0.9993906021118164,0.5487107038497925,0.5036301016807556,-0.15390028059482574,0.9997622966766357,0.40243083238601685,0.6322310566902161,0.218196302652359,0.37876856327056885,0.3941103518009186,0.6553725600242615,-0.11118054389953613,0.9712775945663452,0.2460610568523407,0.6843644976615906,0.3823758065700531,0.7369917631149292,0.22168183326721191,0.7057700753211975,-0.00031787369516678154,0.9861323237419128,0.2414611130952835,0.774275004863739,0.31646236777305603,0.8575607538223267,0.2114529311656952,0.8137733340263367,-0.10045979917049408,0.9821244478225708,167.07615633740548,48.48915318912001,168.6795824771123,151.82437079923443,111.7017480670622
10,0.8811008930206299,0.4279176890850067,-0.09128294885158539,0.9997344613075256,0.7826149463653564,0.3426561653614044,0.1749965399503708,0.999672532081604,0.7885582447052002,0.34894105792045593,-0.3186836838722229,0.9999403357505798,0.739844560623169,0.5622556209564209,0.22594407200813293,0.25517693161964417,0.7494051456451416,0.6044312715530396,-0.3952654004096985,0.9952306747436523,0.7590744495391846,0.7786791920661926,0.12049000710248947,0.4427722096443176,0.7691143751144409,0.8479694128036499,-0.36899057030677795,0.9848415851593018,0.5566275119781494,0.503868818283081,0.15426047146320343,0.999336838722229,0.5488324761390686,0.5054086446762085,-0.15412849187850952,0.9997413158416748,0.3985380232334137,0.6318643689155579,0.2149612307548523,0.3819437026977539,0.39307937026023865,0.6550405621528625,-0.11265211552381516,0.9701710343360901,0.24365313351154327,0.6839514374732971,0.37019920349121094,0.7362638115882874,0.22187688946723938,0.7056996822357178,-0.006214044988155365,0.9853326082229614,0.24106022715568542,0.7736830115318298,0.30001747608184814,0.8559351563453674,0.211497962474823,0.8141689896583557,-0.1074913814663887,0.9810791611671448,166.65676203224862,48.15582531438644,169.2756446608058,152.62900198873703,111.94812108789266
